10-26-2025 15:45:30 RAM 6588/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [22%@729,12%@1984,7%@1984,14%@1984,12%@729,14%@729,11%@729,14%@729] GR3D_FREQ 5% cv0@59.906C cpu@62.656C iwlwifi_1@51C soc2@58.875C soc0@60.968C cv1@60C gpu@59.718C tj@63.718C soc1@63.718C cv2@59.875C VDD_IN 8049mW/8340mW VDD_CPU_GPU_CV 1413mW/1650mW VDD_SOC 2746mW/2752mW
10-26-2025 15:45:31 RAM 6588/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [6%@729,3%@729,2%@729,19%@729,2%@729,3%@729,2%@729,4%@729] GR3D_FREQ 9% cv0@59.906C cpu@62.875C iwlwifi_1@51C soc2@58.968C soc0@61.062C cv1@59.875C gpu@59.562C tj@63.718C soc1@63.718C cv2@59.875C VDD_IN 7846mW/8319mW VDD_CPU_GPU_CV 1292mW/1635mW VDD_SOC 2705mW/2750mW
10-26-2025 15:45:32 RAM 6590/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [6%@1190,2%@1190,17%@1190,13%@1190,10%@729,1%@729,2%@729,2%@729] GR3D_FREQ 5% cv0@60.125C cpu@62.593C iwlwifi_1@51C soc2@58.937C soc0@61.093C cv1@59.906C gpu@59.75C tj@63.718C soc1@63.718C cv2@59.75C VDD_IN 8130mW/8312mW VDD_CPU_GPU_CV 1494mW/1629mW VDD_SOC 2746mW/2750mW
10-26-2025 15:45:33 RAM 6591/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [16%@1984,1%@1984,2%@1984,6%@1984,3%@729,3%@729,2%@729,2%@729] GR3D_FREQ 14% cv0@59.968C cpu@62.531C iwlwifi_1@51C soc2@58.937C soc0@61.156C cv1@59.937C gpu@59.406C tj@64C soc1@64C cv2@59.687C VDD_IN 7725mW/8289mW VDD_CPU_GPU_CV 1171mW/1612mW VDD_SOC 2705mW/2748mW
10-26-2025 15:45:34 RAM 6591/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [4%@729,1%@729,1%@729,15%@729,3%@729,1%@729,1%@729,2%@729] GR3D_FREQ 7% cv0@59.687C cpu@62.625C iwlwifi_1@51C soc2@58.718C soc0@60.875C cv1@59.812C gpu@59.343C tj@63.687C soc1@63.656C cv2@59.781C VDD_IN 7644mW/8265mW VDD_CPU_GPU_CV 1090mW/1593mW VDD_SOC 2705mW/2747mW
10-26-2025 15:45:35 RAM 6588/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [16%@729,21%@729,7%@729,13%@729,11%@729,15%@729,12%@729,24%@729] GR3D_FREQ 57% cv0@59.906C cpu@62.625C iwlwifi_1@51C soc2@58.843C soc0@61C cv1@59.843C gpu@59.656C tj@63.75C soc1@63.75C cv2@59.875C VDD_IN 8197mW/8263mW VDD_CPU_GPU_CV 1453mW/1588mW VDD_SOC 2786mW/2748mW
10-26-2025 15:45:36 RAM 6590/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [5%@1984,0%@1984,2%@1984,17%@1984,0%@729,1%@729,2%@729,1%@729] GR3D_FREQ 7% cv0@59.906C cpu@62.406C iwlwifi_1@51C soc2@58.781C soc0@61.062C cv1@59.75C gpu@59.531C tj@63.718C soc1@63.718C cv2@59.656C VDD_IN 7644mW/8241mW VDD_CPU_GPU_CV 1090mW/1570mW VDD_SOC 2705mW/2747mW
10-26-2025 15:45:37 RAM 6593/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [6%@729,8%@729,4%@729,10%@729,3%@729,3%@729,3%@729,4%@729] GR3D_FREQ 7% cv0@59.656C cpu@62.531C iwlwifi_1@51C soc2@58.656C soc0@61.187C cv1@59.812C gpu@59.25C tj@63.843C soc1@63.843C cv2@59.687C VDD_IN 7725mW/8224mW VDD_CPU_GPU_CV 1171mW/1557mW VDD_SOC 2705mW/2745mW
10-26-2025 15:45:38 RAM 6595/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [5%@729,1%@729,0%@729,17%@729,0%@729,4%@729,1%@729,0%@729] GR3D_FREQ 7% cv0@59.625C cpu@62.656C iwlwifi_1@51C soc2@58.656C soc0@60.968C cv1@59.718C gpu@59.25C tj@63.593C soc1@63.593C cv2@59.843C VDD_IN 7604mW/8204mW VDD_CPU_GPU_CV 1090mW/1542mW VDD_SOC 2705mW/2744mW
10-26-2025 15:45:39 RAM 6595/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [3%@729,2%@729,4%@729,16%@729,2%@729,2%@729,3%@729,3%@729] GR3D_FREQ 14% cv0@59.687C cpu@62.437C iwlwifi_1@51C soc2@58.687C soc0@60.843C cv1@59.656C gpu@59.531C tj@63.625C soc1@63.625C cv2@59.531C VDD_IN 7685mW/8188mW VDD_CPU_GPU_CV 1130mW/1529mW VDD_SOC 2705mW/2743mW
10-26-2025 15:45:40 RAM 6595/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [13%@1984,8%@1984,8%@1984,17%@1984,14%@729,18%@729,10%@729,10%@729] GR3D_FREQ 7% cv0@59.812C cpu@62.625C iwlwifi_1@51C soc2@58.906C soc0@61.062C cv1@59.937C gpu@59.593C tj@63.812C soc1@63.812C cv2@59.75C VDD_IN 8359mW/8193mW VDD_CPU_GPU_CV 1572mW/1530mW VDD_SOC 2786mW/2744mW
10-26-2025 15:45:41 RAM 6597/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [11%@1984,12%@1984,6%@1984,4%@1984,2%@729,6%@729,2%@729,6%@729] GR3D_FREQ 7% cv0@59.656C cpu@62.593C iwlwifi_1@51C soc2@58.625C soc0@60.812C cv1@59.656C gpu@59.312C tj@63.593C soc1@63.593C cv2@59.718C VDD_IN 7806mW/8182mW VDD_CPU_GPU_CV 1211mW/1521mW VDD_SOC 2705mW/2743mW
10-26-2025 15:45:42 RAM 6599/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [3%@729,24%@729,0%@729,5%@729,10%@729,2%@729,3%@729,2%@729] GR3D_FREQ 11% cv0@59.781C cpu@62.406C iwlwifi_1@51C soc2@58.75C soc0@60.875C cv1@59.75C gpu@59.187C tj@63.593C soc1@63.593C cv2@59.593C VDD_IN 7968mW/8176mW VDD_CPU_GPU_CV 1373mW/1517mW VDD_SOC 2705mW/2742mW
10-26-2025 15:45:43 RAM 6599/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [5%@729,2%@729,15%@729,5%@729,2%@729,3%@729,2%@729,0%@729] GR3D_FREQ 13% cv0@59.781C cpu@62.375C iwlwifi_1@51C soc2@58.656C soc0@60.937C cv1@59.781C gpu@59.187C tj@63.625C soc1@63.625C cv2@59.656C VDD_IN 7685mW/8162mW VDD_CPU_GPU_CV 1130mW/1506mW VDD_SOC 2705mW/2741mW
10-26-2025 15:45:44 RAM 6602/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [5%@729,0%@729,17%@729,2%@729,1%@729,1%@729,2%@729,0%@729] GR3D_FREQ 13% cv0@59.531C cpu@62.406C iwlwifi_1@51C soc2@58.468C soc0@61.062C cv1@59.812C gpu@59.531C tj@63.781C soc1@63.781C cv2@59.593C VDD_IN 7644mW/8148mW VDD_CPU_GPU_CV 1130mW/1496mW VDD_SOC 2705mW/2740mW
10-26-2025 15:45:45 RAM 6615/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [6%@1984,3%@1984,20%@1984,5%@1984,8%@1728,5%@1728,14%@1728,5%@1728] GR3D_FREQ 11% cv0@60.093C cpu@63C iwlwifi_1@51C soc2@58.656C soc0@60.906C cv1@59.718C gpu@59.625C tj@63.5C soc1@63.5C cv2@59.75C VDD_IN 8157mW/8148mW VDD_CPU_GPU_CV 1491mW/1496mW VDD_SOC 2746mW/2740mW
